pair,mean,mean_ci_lower,mean_ci_upper,median,median_ci_lower,median_ci_upper
Post -> post,0.6065611998240154,0.6045277533531188,0.6085550168156624,0.6115861415863038,0.6092472966114679,0.6140143277148407
Comment -> comment,0.5730372349421183,0.566921870559454,0.5792252949674924,0.5679304103056589,0.5609426877200603,0.5749288617769877
