metric,c0_mean,c0_ci_lo,c0_ci_hi,c9_mean,c9_ci_lo,c9_ci_hi,c10_mean,c10_ci_lo,c10_ci_hi,c9_delta,c9_delta_pct,c9_ci_overlap_c0,c10_delta,c10_delta_pct,c10_ci_overlap_c0,voat_mean,voat_ci_lo,voat_ci_hi,voat_normalized,c0_voat_delta,c0_voat_ci_overlap,c9_voat_delta,c9_voat_ci_overlap,c10_voat_delta,c10_voat_ci_overlap
activity.posts_per_day,5.360714285714286,4.685714285714285,5.992857142857142,4.426190476190476,3.837797619047619,5.142857142857142,7.648214285714286,6.419553571428572,8.985714285714286,-0.9345238095238102,-17.432822562735968,True,2.2875000000000005,42.671552298467695,False,15.253604182334145,12.938363971265408,17.609587552408833,True,-9.89288989661986,False,-10.82741370614367,False,-7.605389896619859,False
activity.comments_per_day,2.4678571428571425,2.146339285714286,2.8,2.038095238095238,1.476190476190476,2.5860714285714272,3.641071428571429,2.9178571428571427,4.535714285714285,-0.42976190476190457,-17.41437530149541,True,1.1732142857142867,47.53979739507964,False,21.270424025415778,17.08827314183963,25.754827023925525,True,-18.802566882558637,False,-19.23232878732054,False,-17.62935259684435,False
activity.mean_posts_per_user,1.476131297576178,1.3636519637680284,1.6104558389855652,1.5792687232787852,1.4882050254312251,1.6820185242518058,1.6169776880612794,1.4966354366307928,1.7300165692007798,0.1031374257026072,6.9870089382943,True,0.1408463904851014,9.541589607670574,True,0.728570740099039,0.6790003817746735,0.7878055880077716,True,0.747560557477139,False,0.8506979831797462,False,0.8884069479622404,False
activity.avg_thread_length,1.8783224936990817,1.7664393170098707,1.9919013585099108,2.0223560993530034,1.6211654045988413,2.4281111796700032,1.9547648598446472,1.755189573834853,2.120892857142857,0.14403360565392176,7.668204269346135,True,0.07644236614556554,4.069714673704592,True,2.360019034185472,2.218778101954162,2.505394935683354,True,-0.48169654048639043,False,-0.3376629348324687,True,-0.4052541743408249,False
activity.mean_daily_active_users,4.6625000000000005,4.2678125,5.010714285714286,3.8761904761904766,3.442857142857142,4.3575,6.5267857142857135,5.567589285714286,7.657142857142857,-0.7863095238095239,-16.86454742755011,True,1.864285714285713,39.98468019915738,False,,,,,,,,,,
