metric,c0_mean,c0_ci_lo,c0_ci_hi,c9_mean,c9_ci_lo,c9_ci_hi,c10_mean,c10_ci_lo,c10_ci_hi,c9_delta,c9_delta_pct,c9_ci_overlap_c0,c10_delta,c10_delta_pct,c10_ci_overlap_c0,voat_mean,voat_ci_lo,voat_ci_hi,voat_normalized,c0_voat_delta,c0_voat_ci_overlap,c9_voat_delta,c9_voat_ci_overlap,c10_voat_delta,c10_voat_ci_overlap
toxicity.mean,0.4591271775849207,0.4114771066365555,0.5096129897819197,0.5041468329295482,0.45978181946154295,0.5425530087760524,0.504067050235071,0.4745654933930693,0.5347862620579724,0.045019655344627485,9.80548692008122,True,0.044939872650150314,9.788109884180876,True,0.1265078890914802,0.11254186525269624,0.1410896955546505,True,0.3326192884934405,False,0.377638943838068,False,0.37755916114359084,False
toxicity.p90,0.9317841655015945,0.9086885436326266,0.9531823183298109,0.9483760875463487,0.9342064418941737,0.9610501816570759,0.9502327722311021,0.9417365370988846,0.9582054042816164,0.016591922044754237,1.7806615157301517,True,0.018448606729507655,1.9799227559932264,True,0.6142004004120827,0.52213466341421,0.7023860667770108,True,0.3175837650895118,False,0.33417568713426604,False,0.33603237181901946,False
toxicity.frac_above_0.5,0.4910639512470176,0.4264879435731838,0.5548521128784287,0.5299600041249216,0.48383725062072136,0.571052052545156,0.5393005080103752,0.499784641208586,0.5808112260349796,0.038896052877903986,7.920771373897549,True,0.048236556763357585,9.822866582013342,True,0.12350563026791933,0.10834314148301971,0.13907793513602784,True,0.3675583209790983,False,0.4064543738570023,False,0.4157948777424559,False
toxicity.comment_mean,0.602845440063728,0.5436127616349027,0.6601242052241545,0.6054197974803018,0.5372862527442619,0.679711403350027,0.6377098663108922,0.6076078662328557,0.6691976952086954,0.002574357416573858,0.4270344014382389,True,0.03486442624716424,5.783310933475527,True,0.1975537772048329,0.1772585415591015,0.2180358084414476,True,0.40529166285889506,False,0.4078660202754689,False,0.4401560891060593,False
