metric,c0_mean,c0_ci_lo,c0_ci_hi,c9_mean,c9_ci_lo,c9_ci_hi,c10_mean,c10_ci_lo,c10_ci_hi,c9_delta,c9_delta_pct,c9_ci_overlap_c0,c10_delta,c10_delta_pct,c10_ci_overlap_c0
entropy.H_per_token_mean,0.27171640987567985,0.26603121437645694,0.2776370426175213,0.26829343477011497,0.26018248702711644,0.2748704413210409,0.2665638347348485,0.26064144297948233,0.2720161966770833,-0.003422975105564885,-1.2597601694836984,True,-0.005152575140831339,-1.896306205130868,True
entropy.inter_hpt_mean,0.2668106542676768,0.2597003019160353,0.2741830685025252,0.26699118337742506,0.2604314741347002,0.2726404063877866,0.26290227295454544,0.25673218833333333,0.26855084432007575,0.00018052910974825087,0.06766188188539717,True,-0.0039083813131313705,-1.4648520404325014,True
entropy.intra_hpt_mean,0.28113939681818184,0.2769109266818182,0.28595943862500006,0.27097333714526217,0.25964460383597887,0.28041976746633,0.27398779107323235,0.267064032874053,0.280939143770202,-0.01016605967291967,-3.6160210158998995,True,-0.007151605744949496,-2.5437935152057594,True
