metric,c0_mean,c0_ci_lo,c0_ci_hi,c9_mean,c9_ci_lo,c9_ci_hi,c10_mean,c10_ci_lo,c10_ci_hi,c9_delta,c9_delta_pct,c9_ci_overlap_c0,c10_delta,c10_delta_pct,c10_ci_overlap_c0
topic.coverage_sim2,0.9686868686868687,0.9242424242424241,1.0,1.0,1.0,1.0,0.9719444444444445,0.9487500000000001,0.99375,0.03131313131313129,3.232533889468194,True,0.0032575757575757924,0.336287799791453,True
topic.mean_cosine,0.6296305836586142,0.6178536159422554,0.6423592081031647,0.6423965118734464,0.6320760673439546,0.6524562116605894,0.6245692536107781,0.6181379172299561,0.6325180960806395,0.012765928214832134,2.027526703142778,True,-0.0050613300478361545,-0.80385708369281,True
topic.sim2_topics,12.1,10.497500000000002,13.902499999999998,9.3,8.2,10.5,16.7,14.297500000000003,19.3,-2.799999999999999,-23.140495867768585,True,4.6,38.01652892561983,False
