metric,c0_mean,c0_ci_lo,c0_ci_hi,c3_mean,c3_ci_lo,c3_ci_hi,c4_mean,c4_ci_lo,c4_ci_hi,c3_delta,c3_delta_pct,c3_ci_overlap_c0,c4_delta,c4_delta_pct,c4_ci_overlap_c0
topic.coverage_sim2,0.9686868686868687,0.9242424242424241,1.0,0.9465501165501167,0.8999743589743591,0.9833653846153847,0.990909090909091,0.9727272727272727,1.0,-0.022136752136752036,-2.285233015160012,True,0.022222222222222254,2.294056308654852,True
topic.mean_cosine,0.6296305836586142,0.6178536159422554,0.6423592081031647,0.6182281744682089,0.6093378570813672,0.6277237975890083,0.6287477599915527,0.6154209180547769,0.6388657042387373,-0.01140240919040536,-1.8109681273976594,True,-0.0008828236670614942,-0.14021295819711344,True
topic.sim2_topics,12.1,10.497500000000002,13.902499999999998,13.4,12.5,14.3,11.4,10.7,12.3,1.3000000000000007,10.743801652892566,True,-0.6999999999999993,-5.785123966942143,True
