metric,c0_mean,c0_ci_lo,c0_ci_hi,c3_mean,c3_ci_lo,c3_ci_hi,c4_mean,c4_ci_lo,c4_ci_hi,c3_delta,c3_delta_pct,c3_ci_overlap_c0,c4_delta,c4_delta_pct,c4_ci_overlap_c0
entropy.H_per_token_mean,0.27171640987567985,0.26603121437645694,0.2776370426175213,0.26866302107152606,0.26454304964215025,0.2730917555244433,0.2648981350396825,0.2522280892361111,0.2759337683244048,-0.0030533888041537893,-1.123741037779362,True,-0.00681827483599734,-2.5093349493013504,True
entropy.inter_hpt_mean,0.2668106542676768,0.2597003019160353,0.2741830685025252,0.26249738892857144,0.2566111935565476,0.2688122952738095,0.2583399036309524,0.2423084513258929,0.2722381704181548,-0.0043132653391053655,-1.6166016124596352,True,-0.008470750636724422,-3.1748172350816892,True
entropy.intra_hpt_mean,0.28113939681818184,0.2769109266818182,0.28595943862500006,0.2808087922161172,0.2769701240315934,0.28508123959706955,0.2780145978571429,0.2698448722321429,0.2853754584375,-0.0003306046020646325,-0.11759454768925208,True,-0.003124798961038955,-1.1114767252132298,True
