metric,c0_mean,c0_ci_lo,c0_ci_hi,c3_mean,c3_ci_lo,c3_ci_hi,c4_mean,c4_ci_lo,c4_ci_hi,c3_delta,c3_delta_pct,c3_ci_overlap_c0,c4_delta,c4_delta_pct,c4_ci_overlap_c0,voat_mean,voat_ci_lo,voat_ci_hi,voat_normalized,c0_voat_delta,c0_voat_ci_overlap,c3_voat_delta,c3_voat_ci_overlap,c4_voat_delta,c4_voat_ci_overlap
toxicity.mean,0.4591271775849207,0.4114771066365555,0.5096129897819197,0.45796227557021485,0.41441774283556193,0.5076800024525837,0.4909506080379506,0.45282067130535913,0.5343892414272579,-0.0011649020147058708,-0.2537209887755793,True,0.03182343045302988,6.931288759778063,True,0.1265078890914802,0.11254186525269624,0.1410896955546505,True,0.3326192884934405,False,0.33145438647873465,False,0.3644427189464704,False
toxicity.p90,0.9317841655015945,0.9086885436326266,0.9531823183298109,0.9429290980100633,0.9262085708081721,0.9573125038743018,0.9548381835222244,0.9461858510226011,0.9631761165112256,0.011144932508468819,1.1960852009616756,True,0.023054018020629896,2.474180059522641,True,0.6142004004120827,0.52213466341421,0.7023860667770108,True,0.3175837650895118,False,0.3287286975979806,False,0.3406377831101417,False
toxicity.frac_above_0.5,0.4910639512470176,0.4264879435731838,0.5548521128784287,0.4739067894593969,0.4165817623485212,0.5340796348271211,0.51467893663276,0.4629757748904968,0.5895272556390978,-0.017157161787620723,-3.4938752364231753,True,0.02361498538574236,4.808942974896445,True,0.12350563026791933,0.10834314148301971,0.13907793513602784,True,0.3675583209790983,False,0.3504011591914776,False,0.39117330636484066,False
toxicity.comment_mean,0.602845440063728,0.5436127616349027,0.6601242052241545,0.6262703783449597,0.5644352005615781,0.6845857505555397,0.6088206971141882,0.5223205257952691,0.6938146955309693,0.02342493828123171,3.885728700005662,True,0.005975257050460203,0.9911756236936199,True,0.1975537772048329,0.1772585415591015,0.2180358084414476,True,0.40529166285889506,False,0.4287166011401268,False,0.41126691990935527,False
