variable,test,n_core,n_periphery,mean_core,mean_periphery,t_stat,p_value,effect_size_g
round_actions,t-test (Welch),26,646,5.0,1.674922600619195,5.1378649823581535,2.4906045720568727e-05,2.0815983504908333
left_on,t-test (Welch),26,646,589.0769230769231,746.9659442724458,-4.438000669285566,0.0001424816220399491,-1.012767701623602
joined_on,t-test (Welch),26,646,525.4615384615385,628.4489164086688,-2.792699650028183,0.009436533759779498,-0.5301273980229634
age,t-test (Welch),26,646,34.73076923076923,38.640866873065015,-1.9995324655945799,0.055242816156832235,-0.3237334331924911
is_page,t-test (Welch),26,646,0.0,0.0,,,
