user_id,degree,weighted_degree,cp_label,is_core
199,36,5.799999999999998,0,True
556,26,4.000000000000002,0,True
90,16,3.000000000000001,0,True
68,20,2.5,0,True
258,17,2.3000000000000007,0,True
10,13,2.1,0,True
554,15,1.9000000000000004,0,True
814,15,1.8000000000000003,0,True
236,8,1.8,0,True
497,10,1.7000000000000004,0,True
227,12,1.7000000000000002,0,True
339,11,1.4000000000000001,0,True
579,4,1.3000000000000003,1,False
375,10,1.3,0,True
389,8,1.3,0,True
130,10,1.3,0,True
594,8,1.2000000000000004,0,True
109,10,1.2000000000000002,0,True
325,10,1.2000000000000002,0,True
636,10,1.2,0,True
163,6,1.2,1,False
531,7,1.1000000000000003,1,False
384,7,1.1,1,False
208,10,1.0999999999999999,0,True
129,7,1.0000000000000002,1,False
88,7,1.0,1,False
1082,5,1.0,1,False
37,8,0.9999999999999999,0,True
545,8,0.9999999999999999,1,False
232,8,0.9999999999999999,1,False
257,7,0.9,1,False
576,7,0.9,1,False
185,4,0.8999999999999999,1,False
110,9,0.8999999999999999,0,True
608,6,0.8999999999999999,1,False
655,6,0.8999999999999999,1,False
224,7,0.8999999999999999,1,False
57,9,0.8999999999999999,0,True
348,6,0.8999999999999999,1,False
176,6,0.8999999999999999,1,False
734,7,0.7999999999999999,1,False
318,7,0.7999999999999999,1,False
266,8,0.7999999999999999,0,True
599,6,0.7999999999999999,1,False
66,7,0.7999999999999999,1,False
65,8,0.7999999999999999,0,True
298,8,0.7999999999999999,0,True
200,4,0.7000000000000001,1,False
40,7,0.7,1,False
35,7,0.7,1,False
359,5,0.7,1,False
12,6,0.7,1,False
846,5,0.7,1,False
805,5,0.7,1,False
74,7,0.7,1,False
63,7,0.7,1,False
243,5,0.7,1,False
164,7,0.7,1,False
134,6,0.7,1,False
559,5,0.7,1,False
420,4,0.6000000000000001,1,False
391,4,0.6000000000000001,1,False
521,5,0.6,1,False
604,6,0.6,1,False
360,5,0.6,1,False
45,5,0.6,1,False
572,6,0.6,1,False
193,5,0.6,1,False
46,4,0.6,1,False
49,6,0.6,1,False
364,6,0.6,1,False
148,5,0.6,1,False
230,5,0.6,1,False
371,6,0.6,1,False
72,5,0.6,1,False
699,5,0.6,1,False
476,5,0.6,1,False
1174,3,0.5,1,False
831,4,0.5,1,False
404,3,0.5,1,False
43,5,0.5,1,False
1092,4,0.5,1,False
15,4,0.5,1,False
810,3,0.5,1,False
259,3,0.5,1,False
99,5,0.5,1,False
580,5,0.5,1,False
192,5,0.5,1,False
165,5,0.5,1,False
29,5,0.5,1,False
764,5,0.5,1,False
244,4,0.5,1,False
455,5,0.5,1,False
80,4,0.5,1,False
488,4,0.5,1,False
481,3,0.5,1,False
249,5,0.5,1,False
27,5,0.5,1,False
11,5,0.5,1,False
70,4,0.5,1,False
549,5,0.5,1,False
300,5,0.5,1,False
1,5,0.5,1,False
160,4,0.5,1,False
859,4,0.4,1,False
1286,4,0.4,1,False
1153,4,0.4,1,False
650,3,0.4,1,False
493,3,0.4,1,False
1010,2,0.4,1,False
780,3,0.4,1,False
524,4,0.4,1,False
819,3,0.4,1,False
731,2,0.4,1,False
677,4,0.4,1,False
707,4,0.4,1,False
207,3,0.4,1,False
191,4,0.4,1,False
60,4,0.4,1,False
144,3,0.4,1,False
526,4,0.4,1,False
596,4,0.4,1,False
466,3,0.4,1,False
225,3,0.4,1,False
666,3,0.4,1,False
480,2,0.4,1,False
210,4,0.4,1,False
175,4,0.4,1,False
223,4,0.4,1,False
142,4,0.4,1,False
746,4,0.4,1,False
363,4,0.4,-1,False
64,4,0.4,1,False
149,3,0.4,1,False
326,4,0.4,1,False
283,3,0.4,1,False
133,3,0.4,1,False
344,3,0.4,1,False
516,4,0.4,1,False
398,4,0.4,1,False
152,3,0.4,1,False
138,2,0.4,1,False
161,3,0.4,1,False
96,4,0.4,1,False
26,4,0.4,1,False
251,4,0.4,1,False
407,4,0.4,1,False
4,4,0.4,1,False
1320,2,0.30000000000000004,1,False
51,3,0.30000000000000004,1,False
2,3,0.30000000000000004,1,False
58,3,0.30000000000000004,1,False
876,3,0.30000000000000004,1,False
925,2,0.30000000000000004,1,False
112,3,0.30000000000000004,1,False
329,3,0.30000000000000004,1,False
100,3,0.30000000000000004,1,False
386,3,0.30000000000000004,1,False
337,3,0.30000000000000004,1,False
985,3,0.30000000000000004,1,False
122,3,0.30000000000000004,1,False
884,3,0.30000000000000004,1,False
644,3,0.30000000000000004,1,False
395,3,0.30000000000000004,1,False
204,3,0.30000000000000004,1,False
854,3,0.30000000000000004,1,False
370,3,0.30000000000000004,1,False
3,3,0.30000000000000004,1,False
289,3,0.30000000000000004,1,False
308,3,0.30000000000000004,1,False
424,3,0.30000000000000004,1,False
214,2,0.30000000000000004,1,False
269,3,0.30000000000000004,1,False
933,3,0.30000000000000004,1,False
887,2,0.30000000000000004,1,False
28,3,0.30000000000000004,1,False
198,2,0.30000000000000004,1,False
113,3,0.30000000000000004,1,False
111,2,0.30000000000000004,1,False
86,3,0.30000000000000004,1,False
89,3,0.30000000000000004,1,False
83,3,0.30000000000000004,1,False
935,2,0.30000000000000004,1,False
323,3,0.30000000000000004,1,False
436,2,0.30000000000000004,1,False
1056,3,0.30000000000000004,1,False
878,3,0.30000000000000004,1,False
50,3,0.30000000000000004,1,False
698,3,0.30000000000000004,1,False
910,3,0.30000000000000004,1,False
625,3,0.30000000000000004,1,False
718,3,0.30000000000000004,1,False
515,3,0.30000000000000004,1,False
92,3,0.30000000000000004,1,False
206,3,0.30000000000000004,1,False
