metric,c0_mean,c0_ci_lo,c0_ci_hi,c1_mean,c1_ci_lo,c1_ci_hi,c2_mean,c2_ci_lo,c2_ci_hi,c1_delta,c1_delta_pct,c1_ci_overlap_c0,c2_delta,c2_delta_pct,c2_ci_overlap_c0,voat_mean,voat_ci_lo,voat_ci_hi,voat_normalized,c0_voat_delta,c0_voat_ci_overlap,c1_voat_delta,c1_voat_ci_overlap,c2_voat_delta,c2_voat_ci_overlap
toxicity.mean,0.4591271775849207,0.4114771066365555,0.5096129897819197,0.24457836180155898,0.22147833700685318,0.26757230784627795,0.3798028542015575,0.3167371569761265,0.44101449833740575,-0.21454881578336174,-46.72971373899523,False,-0.0793243233833632,-17.27720057885079,True,0.1265078890914802,0.11254186525269624,0.1410896955546505,True,0.3326192884934405,False,0.11807047271007878,False,0.2532949651100773,False
toxicity.p90,0.9317841655015945,0.9086885436326266,0.9531823183298109,0.8320704483985903,0.7809505500495434,0.8756053664535283,0.9049066603183746,0.8436059009134769,0.9477568396180867,-0.09971371710300414,-10.701374931535419,False,-0.026877505183219852,-2.8845204907245074,True,0.6142004004120827,0.52213466341421,0.7023860667770108,True,0.3175837650895118,False,0.21787004798650766,False,0.29070625990629195,False
toxicity.frac_above_0.5,0.4910639512470176,0.4264879435731838,0.5548521128784287,0.2383044524259655,0.2082496548878218,0.2692090591547113,0.37418929392079486,0.3026505966211849,0.4439888413801737,-0.2527594988210521,-51.47180895262003,False,-0.11687465732622276,-23.800292615539977,True,0.12350563026791933,0.10834314148301971,0.13907793513602784,True,0.3675583209790983,False,0.11479882215804618,False,0.25068366365287553,False
toxicity.comment_mean,0.602845440063728,0.5436127616349027,0.6601242052241545,0.4451897070379333,0.4136480428477492,0.47271089300917507,0.5870733086083416,0.495395161675858,0.6853116759758746,-0.15765573302579466,-26.151932576470774,False,-0.015772131455386362,-2.6162811240173034,True,0.1975537772048329,0.1772585415591015,0.2180358084414476,True,0.40529166285889506,False,0.24763592983310043,False,0.3895195314035087,False
