metric,c0_mean,c0_ci_lo,c0_ci_hi,c1_mean,c1_ci_lo,c1_ci_hi,c2_mean,c2_ci_lo,c2_ci_hi,c1_delta,c1_delta_pct,c1_ci_overlap_c0,c2_delta,c2_delta_pct,c2_ci_overlap_c0,voat_mean,voat_ci_lo,voat_ci_hi,voat_normalized,c0_voat_delta,c0_voat_ci_overlap,c1_voat_delta,c1_voat_ci_overlap,c2_voat_delta,c2_voat_ci_overlap
activity.posts_per_day,5.360714285714286,4.685714285714285,5.992857142857142,5.2613095238095235,4.832098214285714,5.679776785714284,5.821428571428571,5.149955357142858,6.633973214285715,-0.09940476190476222,-1.8543193426604545,True,0.4607142857142854,8.594270486342433,True,15.253604182334145,12.938363971265408,17.609587552408833,True,-9.89288989661986,False,-9.99229465852462,False,-9.432175610905574,False
activity.comments_per_day,2.4678571428571425,2.146339285714286,2.8,2.4047619047619047,2.0083035714285717,2.784553571428571,2.7089285714285714,2.298125,3.2285714285714286,-0.06309523809523787,-2.5566811384466868,True,0.24107142857142883,9.768451519536915,True,21.270424025415778,17.08827314183963,25.754827023925525,True,-18.802566882558637,False,-18.865662120653873,False,-18.561495453987206,False
activity.mean_posts_per_user,1.476131297576178,1.3636519637680284,1.6104558389855652,1.5325268210050818,1.4161533385093168,1.6521748306041784,1.5395667231319405,1.410266873706004,1.6733900338791643,0.05639552342890375,3.8204950685285075,True,0.06343542555576254,4.2974107831684165,True,0.728570740099039,0.6790003817746735,0.7878055880077716,True,0.747560557477139,False,0.8039560809060428,False,0.8109959830329015,False
activity.avg_thread_length,1.8783224936990817,1.7664393170098707,1.9919013585099108,1.8569839312883463,1.6899645780852386,2.0359646635333974,1.9134924781476503,1.7429241926655716,2.077643906221492,-0.021338562410735396,-1.1360435964706048,True,0.03516998444856867,1.8724145915596488,True,2.360019034185472,2.218778101954162,2.505394935683354,True,-0.48169654048639043,False,-0.5030351028971258,False,-0.44652655603782176,False
activity.mean_daily_active_users,4.6625000000000005,4.2678125,5.010714285714286,4.5946428571428575,4.217812500000001,4.975,5.057142857142858,4.589285714285714,5.5287500000000005,-0.06785714285714306,-1.4553810800459637,True,0.3946428571428573,8.46418996553045,True,,,,,,,,,,
