metric,c0_mean,c0_ci_lo,c0_ci_hi,c1_mean,c1_ci_lo,c1_ci_hi,c2_mean,c2_ci_lo,c2_ci_hi,c1_delta,c1_delta_pct,c1_ci_overlap_c0,c2_delta,c2_delta_pct,c2_ci_overlap_c0
entropy.H_per_token_mean,0.27171640987567985,0.26603121437645694,0.2776370426175213,0.2684272082548873,0.26541240132061783,0.2706486345666157,0.2708316099854757,0.2646105441666667,0.2777129348992375,-0.003289201620792548,-1.2105274106549093,True,-0.0008847998902041798,-0.3256335863590307,True
entropy.inter_hpt_mean,0.2668106542676768,0.2597003019160353,0.2741830685025252,0.26449488062169313,0.2588279688657408,0.26928786732804233,0.2662588311026936,0.2589102495044192,0.2741921339246633,-0.0023157736459836764,-0.8679464665081871,True,-0.0005518231649832006,-0.20682201259833727,True
entropy.intra_hpt_mean,0.28113939681818184,0.2769109266818182,0.28595943862500006,0.2760999223063973,0.2712701342592593,0.2805011636763468,0.27980694938271605,0.2722265544444445,0.28620128271604933,-0.005039474511784547,-1.7925180778002703,True,-0.001332447435465789,-0.4739454699504488,True
