metric,c0_mean,c0_ci_lo,c0_ci_hi,c1_mean,c1_ci_lo,c1_ci_hi,c2_mean,c2_ci_lo,c2_ci_hi,c1_delta,c1_delta_pct,c1_ci_overlap_c0,c2_delta,c2_delta_pct,c2_ci_overlap_c0
topic.coverage_sim2,0.9686868686868687,0.9242424242424241,1.0,0.95875,0.9195833333333333,0.99,0.9700126262626263,0.9330776515151517,0.9945833333333333,-0.009936868686868716,-1.02580813347237,True,0.0013257575757575912,0.13686131386861472,True
topic.mean_cosine,0.6296305836586142,0.6178536159422554,0.6423592081031647,0.6142291781031035,0.5991554906820667,0.628704409081032,0.6209464884441708,0.6099522153316845,0.6324960374571061,-0.015401405555510728,-2.4461018818395535,True,-0.008684095214443466,-1.3792365618554487,True
topic.sim2_topics,12.1,10.497500000000002,13.902499999999998,11.8,10.597500000000002,13.0,13.3,11.8,14.9,-0.29999999999999893,-2.479338842975198,True,1.200000000000001,9.917355371900836,True
