topic_id,size,label,top_words
0,1011,0_gladwell_mnuchin_simp_le_10,gladwell mnuchin simp_le openib twily boldin libreplanet
1,97,1_talkin_somethin_doodoo somethin_99 nickyboy,talkin somethin doodoo somethin 99 nickyboy dumbbell doodoo doodoo philosophertechnologist intelligentsia
2,74,2_bigname_flattery_testimonial smokeandmirrors_testimonial,bigname flattery testimonial smokeandmirrors testimonial smokeandmirrors smokeandmirrors flattery selfcentered americanmade unearned chaff unimpressive breathless
3,46,3_emmastanton_higherlevel_marysutton_2023 platitudes,emmastanton higherlevel marysutton 2023 platitudes augmentative antitechnology democratizes astounded pinnacles astounded bugprone democratizes
4,40,4_pigeonholed_wagefixing_2021 duking_1920s misbehaving,pigeonholed wagefixing 2021 duking 1920s misbehaving backandforth somethin bastions pigeonholed begrudging bastions behindcloseddoors chaps
5,12,5_10 stayrelevantordissolve_2000s_2000s selfexecuting_stayrelevantordissolve,10 stayrelevantordissolve 2000s 2000s selfexecuting stayrelevantordissolve argumentation nicolerosales bicker bicker 10 bleating argumentation bleating determinism
6,6,6_lowballed_lattes_lowballed reshaped_reshaped 20,lowballed lattes lowballed reshaped reshaped 20 peonage lowballed reshaped peonage lattes hushhush jacobfoley peonage hushhush
