user_id,day,reputation
35,8,2.0
55,8,
49,8,
10,8,
11,8,
57,8,
36,8,
15,8,
70,8,
73,8,
32,8,
90,8,
65,8,
91,8,
59,8,
46,8,
40,8,
114,8,
88,8,
58,8,
108,8,
107,8,
75,8,
94,8,
109,8,
98,8,
39,8,
86,8,
42,8,
126,8,
12,8,
43,8,
50,8,
37,8,
132,8,
165,8,
72,8,
68,8,
74,8,
92,8,
125,8,
163,8,
135,8,
142,8,
29,8,
63,8,
97,8,
210,8,
175,8,
67,8,
207,8,
78,8,
223,8,
191,8,
99,8,
130,8,
60,8,
257,8,
160,8,
102,8,
106,8,
103,8,
259,8,
33,8,
127,8,
236,8,
186,8,
238,8,
56,8,
4,8,
30,8,
278,8,
110,8,
28,8,
216,8,
269,8,
230,8,
148,8,
277,8,
243,8,
199,8,
267,8,
326,8,
200,8,
152,8,
178,8,
1,8,
80,8,
249,8,
227,8,
18,8,
312,8,
320,8,
8,8,
232,8,
121,8,
359,8,
111,8,
274,8,
133,8,
333,8,
208,8,
27,8,
64,8,
96,8,
138,8,
196,8,
360,8,
325,8,
112,8,
161,8,
397,8,
250,8,
164,8,
407,8,
370,8,
379,8,
389,8,
424,8,
398,8,
384,8,
53,8,
244,8,
146,8,
251,8,
310,8,
177,8,
412,8,
386,8,
337,8,
413,8,
318,8,
168,8,
409,8,
371,8,
440,8,
26,8,
369,8,
348,8,
54,8,
507,8,
129,8,
311,8,
335,8,
529,8,
206,8,
266,8,
467,8,
351,8,
215,8,
516,8,
505,8,
6,8,
610,8,
280,8,
617,8,
344,8,
122,8,
258,8,
530,8,
588,8,
436,8,
193,8,
556,8,
276,8,
119,8,
595,8,
13,8,
3,8,
233,8,
198,8,
476,8,
298,8,
380,8,
328,8,
554,8,
134,8,
695,8,
180,8,
446,8,
601,8,
167,8,
531,8,
228,8,
342,8,
339,8,
596,8,
698,8,
683,8,
636,8,
364,8,
289,8,
545,8,
559,8,
594,8,
548,8,
188,8,
466,8,
537,8,
718,8,
197,8,
478,8,
526,8,
194,8,
291,8,
625,8,
217,8,
567,8,
599,8,
283,8,
2,8,
716,8,
576,8,
707,8,
375,8,
185,8,
666,8,
679,8,
608,8,
687,8,
123,8,
480,8,
497,8,
214,8,
764,8,
768,8,
420,8,
734,8,
331,8,
580,8,
41,8,
790,8,
524,8,
620,8,
857,8,
788,8,
811,8,
141,8,
775,8,
846,8,
51,8,
677,8,
297,8,
746,8,
638,8,
192,8,
815,8,
886,8,
819,8,
226,8,
176,8,
416,8,
604,8,
329,8,
225,8,
814,8,
925,8,
796,8,
490,8,
539,8,
392,8,
733,8,
623,8,
837,8,
592,8,
323,8,
590,8,
451,8,
805,8,
204,8,
888,8,
816,8,
810,8,
521,8,
66,8,
45,8,
224,8,
1031,8,
876,8,
918,8,
579,8,
450,8,
426,8,
149,8,
363,8,
520,8,
854,8,
717,8,
536,8,
657,8,
400,8,
404,8,
391,8,
731,8,
1019,8,
696,8,
270,8,
686,8,
881,8,
513,8,
572,8,
933,8,
780,8,
848,8,
685,8,
549,8,
104,8,
316,8,
704,8,
515,8,
402,8,
699,8,
493,8,
952,8,
831,8,
871,8,
703,8,
968,8,
503,8,
308,8,
655,8,
1084,8,
456,8,
1057,8,
488,8,
356,8,
157,8,
124,8,
777,8,
870,8,
7,8,
273,8,
910,8,
237,8,
540,8,
1174,8,
495,8,
1082,8,
1052,8,
829,8,
931,8,
410,8,
1030,8,
455,8,
859,8,
481,8,
650,8,
989,8,
1010,8,
89,8,
115,8,
300,8,
463,8,
1058,8,
809,8,
1327,8,
939,8,
1153,8,
798,8,
728,8,
307,8,
1120,8,
1092,8,
1286,8,
1056,8,
79,8,
644,8,
713,8,
187,8,
388,8,
1097,8,
235,8,
324,8,
987,8,
946,8,
1108,8,
144,8,
988,8,
1320,8,
1332,8,
113,8,
582,8,
1328,8,
1256,8,
878,8,
895,8,
395,8,
586,8,
1243,8,
669,8,
538,8,
1157,8,
693,8,
245,8,
759,8,
35,9,4.332833145723884
55,9,2.0
49,9,2.0
10,9,2.0
11,9,
57,9,
36,9,
15,9,
70,9,
73,9,
32,9,
90,9,
65,9,
91,9,
59,9,
46,9,
40,9,
114,9,
88,9,
58,9,
108,9,
107,9,
75,9,
94,9,
109,9,
98,9,
39,9,
86,9,
42,9,
126,9,
12,9,
43,9,
50,9,
37,9,
132,9,
165,9,
72,9,
68,9,
74,9,
92,9,
125,9,
163,9,
135,9,
142,9,
29,9,
63,9,
97,9,
210,9,
175,9,
67,9,
207,9,
78,9,
223,9,
191,9,
99,9,
130,9,
60,9,
257,9,
160,9,
