metric,c0_mean,c0_ci_lo,c0_ci_hi,c7_mean,c7_ci_lo,c7_ci_hi,c8_mean,c8_ci_lo,c8_ci_hi,c7_delta,c7_delta_pct,c7_ci_overlap_c0,c8_delta,c8_delta_pct,c8_ci_overlap_c0
entropy.H_per_token_mean,0.27171640987567985,0.26603121437645694,0.2776370426175213,0.27065879829629624,0.26554030939629636,0.2768407416722222,0.25688470406409836,0.24887505201741064,0.26388548992308825,-0.0010576115793836105,-0.3892336056800936,True,-0.014831705811581497,-5.4585241349124045,False
entropy.inter_hpt_mean,0.2668106542676768,0.2597003019160353,0.2741830685025252,0.2653546861111111,0.26008987131944444,0.2717422397083334,0.25343133498855314,0.24468001568606912,0.2609961762283081,-0.001455968156565679,-0.5456934096435986,True,-0.01337931927912367,-5.014537112787451,True
entropy.intra_hpt_mean,0.28113939681818184,0.2769109266818182,0.28595943862500006,0.2812247372222222,0.2736790440555556,0.2894663929166666,0.26374784062104567,0.2542822820827922,0.2718406170227898,8.534040404034604e-05,0.030355192123975885,True,-0.01739155619713617,-6.186097143967204,False
