metric,c0_mean,c0_ci_lo,c0_ci_hi,c7_mean,c7_ci_lo,c7_ci_hi,c8_mean,c8_ci_lo,c8_ci_hi,c7_delta,c7_delta_pct,c7_ci_overlap_c0,c8_delta,c8_delta_pct,c8_ci_overlap_c0,voat_mean,voat_ci_lo,voat_ci_hi,voat_normalized,c0_voat_delta,c0_voat_ci_overlap,c7_voat_delta,c7_voat_ci_overlap,c8_voat_delta,c8_voat_ci_overlap
activity.posts_per_day,5.360714285714286,4.685714285714285,5.992857142857142,5.766666666666667,5.1003125,6.445401785714286,8.49047619047619,7.583273809523809,9.31907738095238,0.40595238095238084,7.5727292915833875,True,3.1297619047619047,58.383300022207415,False,15.253604182334145,12.938363971265408,17.609587552408833,True,-9.89288989661986,False,-9.486937515667478,False,-6.763127991857955,False
activity.comments_per_day,2.4678571428571425,2.146339285714286,2.8,1.8077380952380953,1.4046428571428573,2.202440476190476,5.636309523809524,5.039285714285715,6.251875,-0.6601190476190473,-26.748673420164003,True,3.168452380952382,128.38880849011102,False,21.270424025415778,17.08827314183963,25.754827023925525,True,-18.802566882558637,False,-19.462685930177685,False,-15.634114501606254,False
activity.mean_posts_per_user,1.476131297576178,1.3636519637680284,1.6104558389855652,1.5799866876991218,1.476072516712419,1.68805353227764,1.8010845342814688,1.7023497248308208,1.9106976295894702,0.10385539012294376,7.035647187582523,True,0.32495323670529075,22.013843703393263,False,0.728570740099039,0.6790003817746735,0.7878055880077716,True,0.747560557477139,False,0.8514159476000828,False,1.0725137941824299,False
activity.avg_thread_length,1.8783224936990817,1.7664393170098707,1.9919013585099108,1.458802254288071,1.3575677283218872,1.5727347939706104,3.091320417055711,2.722911249970074,3.402385927661663,-0.4195202394110107,-22.33483551511045,False,1.2129979233566293,64.57878918160678,False,2.360019034185472,2.218778101954162,2.505394935683354,True,-0.48169654048639043,False,-0.9012167798974011,False,0.7313013828702388,False
activity.mean_daily_active_users,4.6625000000000005,4.2678125,5.010714285714286,4.822619047619047,4.35108630952381,5.316145833333333,6.63452380952381,6.107053571428571,7.150089285714286,0.16011904761904638,3.4341886888803512,True,1.9720238095238098,42.29541682624793,False,,,,,,,,,,
