metric,c0_mean,c0_ci_lo,c0_ci_hi,c7_mean,c7_ci_lo,c7_ci_hi,c8_mean,c8_ci_lo,c8_ci_hi,c7_delta,c7_delta_pct,c7_ci_overlap_c0,c8_delta,c8_delta_pct,c8_ci_overlap_c0
topic.coverage_sim2,0.9686868686868687,0.9242424242424241,1.0,1.0,1.0,1.0,0.9531746031746031,0.903154761904762,1.0,0.03131313131313129,3.232533889468194,True,-0.015512265512265588,-1.601370475197386,True
topic.mean_cosine,0.6296305836586142,0.6178536159422554,0.6423592081031647,0.6472670633724451,0.6365619034993926,0.6566158229222689,0.6180147094727078,0.602847921394078,0.6314381001218414,0.017636479713830866,2.801083710284532,True,-0.011615874185906483,-1.8448713400181036,True
topic.sim2_topics,12.1,10.497500000000002,13.902499999999998,12.4,10.9,14.0,18.1,16.1975,20.5,0.3000000000000007,2.4793388429752126,True,6.000000000000002,49.586776859504155,False
