metric,c0_mean,c0_ci_lo,c0_ci_hi,c7_mean,c7_ci_lo,c7_ci_hi,c8_mean,c8_ci_lo,c8_ci_hi,c7_delta,c7_delta_pct,c7_ci_overlap_c0,c8_delta,c8_delta_pct,c8_ci_overlap_c0,voat_mean,voat_ci_lo,voat_ci_hi,voat_normalized,c0_voat_delta,c0_voat_ci_overlap,c7_voat_delta,c7_voat_ci_overlap,c8_voat_delta,c8_voat_ci_overlap
toxicity.mean,0.4591271775849207,0.4114771066365555,0.5096129897819197,0.4682259655523893,0.4362554742889462,0.5022028954219094,0.5451343782272743,0.5089419111791276,0.5794590318150757,0.009098787967468602,1.9817576505336976,True,0.08600720064235357,18.732761823154235,True,0.1265078890914802,0.11254186525269624,0.1410896955546505,True,0.3326192884934405,False,0.3417180764609091,False,0.4186264891357941,False
toxicity.p90,0.9317841655015945,0.9086885436326266,0.9531823183298109,0.9398560231924057,0.9272407419234514,0.9513445609509946,0.9554438537359238,0.9465337399542333,0.9643975836187602,0.008071857690811202,0.8662797662445777,True,0.02365968823432929,2.539181187050211,True,0.6142004004120827,0.52213466341421,0.7023860667770108,True,0.3175837650895118,False,0.325655622780323,False,0.3412434533238411,False
toxicity.frac_above_0.5,0.4910639512470176,0.4264879435731838,0.5548521128784287,0.49050965139671565,0.44716089438659773,0.5410915003097665,0.5821198943531808,0.5354481926420837,0.626011009662719,-0.0005542998503019758,-0.1128773246120746,True,0.09105594310616316,18.542583481221516,True,0.12350563026791933,0.10834314148301971,0.13907793513602784,True,0.3675583209790983,False,0.3670040211287963,False,0.45861426408526146,False
toxicity.comment_mean,0.602845440063728,0.5436127616349027,0.6601242052241545,0.6620757417117458,0.6252799479924109,0.6973410387965455,0.6022199725752119,0.5581597895465402,0.6468758830861667,0.05923030164801779,9.825122280390218,True,-0.0006254674885161071,-0.10375254533732356,True,0.1975537772048329,0.1772585415591015,0.2180358084414476,True,0.40529166285889506,False,0.46452196450691285,False,0.40466619537037896,False
