metric,c0_mean,c0_ci_lo,c0_ci_hi,c5_mean,c5_ci_lo,c5_ci_hi,c6_mean,c6_ci_lo,c6_ci_hi,c5_delta,c5_delta_pct,c5_ci_overlap_c0,c6_delta,c6_delta_pct,c6_ci_overlap_c0,voat_mean,voat_ci_lo,voat_ci_hi,voat_normalized,c0_voat_delta,c0_voat_ci_overlap,c5_voat_delta,c5_voat_ci_overlap,c6_voat_delta,c6_voat_ci_overlap
network.density,0.26125999999999994,0.19567775,0.3413212499999999,0.13615,0.09443725,0.199424,0.25738000000000005,0.21221625,0.301818,-0.12510999999999994,-47.88716221388654,True,-0.0038799999999998835,-1.485110617775352,True,0.006288450833005611,0.005496768107635765,0.0071317404358812,True,0.2549715491669943,False,0.12986154916699438,False,0.25109154916699444,False
network.avg_clustering,0.004622884441080765,0.0,0.013868653323242292,0.012665634100392262,0.004834237469044366,0.02090997935693288,0.0,0.0,0.0,0.008042749659311498,173.97687010820493,True,-0.004622884441080765,-100.0,True,0.0031059188581181304,0.0025132065664268243,0.0037832720923086636,True,0.0015169655829626342,True,0.009559715242274131,False,-0.0031059188581181304,False
network.core_pct,24.223999999999997,16.317649999999997,33.640249999999995,11.803,8.2038,16.2446,30.536,23.952925,37.046124999999996,-12.420999999999996,-51.27559445178335,False,6.312000000000005,26.056803170409534,True,4.859,4.252949999999999,5.487158333333332,True,19.364999999999995,False,6.944000000000001,False,25.677,False
network.core_density,0.8,0.5,1.0,0.76666,0.53332,1.0,0.8333300000000001,0.66666,1.0,-0.033340000000000036,-4.167500000000004,True,0.03333000000000008,4.16625000000001,True,0.08900666666666666,0.06918933333333332,0.1103905,True,0.7109933333333334,False,0.6776533333333333,False,0.7443233333333334,False
network.modularity,-0.07171,-0.16194249999999996,0.009667999999999986,-0.0036700000000000005,-0.049493249999999996,0.044489499999999994,-0.15318,-0.21677349999999998,-0.09121600000000002,0.06803999999999999,94.8821642727653,True,-0.08147000000000001,-113.61037512201928,True,-0.25256666666666666,-0.28345349999999997,-0.22319066666666673,True,0.18085666666666667,False,0.24889666666666665,False,0.09938666666666665,False
