metric,c0_mean,c0_ci_lo,c0_ci_hi,c5_mean,c5_ci_lo,c5_ci_hi,c6_mean,c6_ci_lo,c6_ci_hi,c5_delta,c5_delta_pct,c5_ci_overlap_c0,c6_delta,c6_delta_pct,c6_ci_overlap_c0
entropy.H_per_token_mean,0.27171640987567985,0.26603121437645694,0.2776370426175213,0.26417251290079136,0.2598802953042933,0.26858884271087297,0.25947397859126986,0.25261154706845235,0.2653596323531746,-0.007543896974888498,-2.7763862250130953,True,-0.012242431284409994,-4.5055914326305695,False
entropy.inter_hpt_mean,0.2668106542676768,0.2597003019160353,0.2741830685025252,0.2586935545765346,0.2530483969898989,0.2642402830808081,0.2540096401388889,0.24635623682291666,0.26055754454513885,-0.008117099691142216,-3.0422696999943506,True,-0.012801014128787924,-4.797789714928458,True
entropy.intra_hpt_mean,0.28113939681818184,0.2769109266818182,0.28595943862500006,0.2746580622514864,0.2708307545981678,0.27809969839852583,0.27025551797619046,0.26447396101190473,0.27615117770535713,-0.006481334566695418,-2.305381117000482,True,-0.010883878841991379,-3.871346017374502,False
