metric,c0_mean,c0_ci_lo,c0_ci_hi,c5_mean,c5_ci_lo,c5_ci_hi,c6_mean,c6_ci_lo,c6_ci_hi,c5_delta,c5_delta_pct,c5_ci_overlap_c0,c6_delta,c6_delta_pct,c6_ci_overlap_c0,voat_mean,voat_ci_lo,voat_ci_hi,voat_normalized,c0_voat_delta,c0_voat_ci_overlap,c5_voat_delta,c5_voat_ci_overlap,c6_voat_delta,c6_voat_ci_overlap
activity.posts_per_day,5.360714285714286,4.685714285714285,5.992857142857142,9.655357142857143,8.966071428571428,10.316294642857143,5.202857142857143,4.646383928571429,5.828258928571429,4.294642857142858,80.1132578281146,False,-0.15785714285714292,-2.944703530979348,True,15.253604182334145,12.938363971265408,17.609587552408833,True,-9.89288989661986,False,-5.598247039477002,False,-10.050747039477002,False
activity.comments_per_day,2.4678571428571425,2.146339285714286,2.8,4.8,4.155312500000001,5.443035714285713,2.5592857142857146,2.189589285714286,2.882875,2.3321428571428573,94.50072358900147,False,0.09142857142857208,3.7047756874095783,True,21.270424025415778,17.08827314183963,25.754827023925525,True,-18.802566882558637,False,-16.470424025415777,False,-18.711138311130064,False
activity.mean_posts_per_user,1.476131297576178,1.3636519637680284,1.6104558389855652,2.029066392134428,1.8672897743512316,2.2301421115236906,1.480176305176305,1.3721969465719464,1.5879488335738337,0.5529350945582499,37.458395162149515,False,0.0040450076001270485,0.2740276293016069,True,0.728570740099039,0.6790003817746735,0.7878055880077716,True,0.747560557477139,False,1.300495652035389,False,0.7516055650772661,False
activity.avg_thread_length,1.8783224936990817,1.7664393170098707,1.9919013585099108,2.0329439681079746,1.8241913099177964,2.252908864709852,2.0289914179387862,1.8153688387635758,2.2715328662565506,0.15462147440889296,8.231891750622044,True,0.15066892423970457,8.021461955821236,True,2.360019034185472,2.218778101954162,2.505394935683354,True,-0.48169654048639043,False,-0.3270750660774975,True,-0.33102761624668586,True
activity.mean_daily_active_users,4.6625000000000005,4.2678125,5.010714285714286,7.0982142857142865,6.742500000000001,7.360714285714285,4.741785714285713,4.2714285714285705,5.258357142857142,2.435714285714286,52.24052087322865,False,0.07928571428571285,1.7004978935273531,True,,,,,,,,,,
