metric,c0_mean,c0_ci_lo,c0_ci_hi,c5_mean,c5_ci_lo,c5_ci_hi,c6_mean,c6_ci_lo,c6_ci_hi,c5_delta,c5_delta_pct,c5_ci_overlap_c0,c6_delta,c6_delta_pct,c6_ci_overlap_c0
topic.coverage_sim2,0.9686868686868687,0.9242424242424241,1.0,0.963663043478261,0.9114891304347825,1.0,0.9732167832167834,0.9455122377622378,1.0,-0.0050238252086076685,-0.5186222061023558,True,0.0045299145299146915,0.46763455522581276,True
topic.mean_cosine,0.6296305836586142,0.6178536159422554,0.6423592081031647,0.6314706029068479,0.6198429606833009,0.6444225938942352,0.6206179710593125,0.6052587548788542,0.6355263088199609,0.0018400192482336264,0.29223790838459096,True,-0.00901261259930175,-1.4314127733331947,True
topic.sim2_topics,12.1,10.497500000000002,13.902499999999998,21.2,18.6,23.4,12.5,11.4,13.5,9.1,75.20661157024793,False,0.40000000000000036,3.3057851239669453,True
