metric,c0_mean,c0_ci_lo,c0_ci_hi,c5_mean,c5_ci_lo,c5_ci_hi,c6_mean,c6_ci_lo,c6_ci_hi,c5_delta,c5_delta_pct,c5_ci_overlap_c0,c6_delta,c6_delta_pct,c6_ci_overlap_c0,voat_mean,voat_ci_lo,voat_ci_hi,voat_normalized,c0_voat_delta,c0_voat_ci_overlap,c5_voat_delta,c5_voat_ci_overlap,c6_voat_delta,c6_voat_ci_overlap
toxicity.mean,0.4591271775849207,0.4114771066365555,0.5096129897819197,0.5121752851067644,0.4922615665708179,0.5307660001722679,0.5102088463314131,0.48524512989140406,0.5376943462060171,0.053048107521843635,11.554120538210089,True,0.05108166874649234,11.125821175559622,True,0.1265078890914802,0.11254186525269624,0.1410896955546505,True,0.3326192884934405,False,0.38566739601528416,False,0.38370095723993286,False
toxicity.p90,0.9317841655015945,0.9086885436326266,0.9531823183298109,0.9576179331541061,0.9503273825198412,0.9638542225807905,0.9506591242551803,0.9386627072542907,0.960389544531703,0.025833767652511663,2.7725055446295257,True,0.018874958753585802,2.025679277713966,True,0.6142004004120827,0.52213466341421,0.7023860667770108,True,0.3175837650895118,False,0.34341753274202347,False,0.3364587238430976,False
toxicity.frac_above_0.5,0.4910639512470176,0.4264879435731838,0.5548521128784287,0.5309986674930702,0.5043605258781871,0.5603359483701941,0.5349108977398451,0.49317178856488075,0.5786976005610873,0.039934716246052604,8.13228422584097,True,0.0438469464928275,8.928968697759565,True,0.12350563026791933,0.10834314148301971,0.13907793513602784,True,0.3675583209790983,False,0.4074930372251509,False,0.4114052674719258,False
toxicity.comment_mean,0.602845440063728,0.5436127616349027,0.6601242052241545,0.6424235446386489,0.6068867113887019,0.6771333966888589,0.654484736909271,0.6007522877060909,0.6993134433011143,0.03957810457492095,6.565215881990758,True,0.051639296845543026,8.565926423874773,True,0.1975537772048329,0.1772585415591015,0.2180358084414476,True,0.40529166285889506,False,0.444869767433816,False,0.4569309597044381,False
